Country	assessment2004	assessment2019	ID	id_row
Mali	30.0	30.0	Q912	76
Marshall Islands	10.0	20.0	Q709	77
Mauritania	20.0	30.0	Q1025	78
Mauritius	80.0	90.0	Q1027	79
Mexico	90.0	100.0	Q96	80
Micronesia, Fed. Sts.	20.0	20.0	Q702	81
Moldova	70.0	100.0	Q217	82
Mongolia	70.0	90.0	Q711	83
Montenegro	30.0	80.0	Q236	84
Morocco	70.0	60.0	Q1028	85
Mozambique	40.0	40.0	Q1029	86
Myanmar	50.0	70.0	Q836	87
Namibia	40.0	30.0	Q1030	88
Nepal	50.0	50.0	Q837	89
Nicaragua	70.0	50.0	Q811	90
Niger	40.0	40.0	Q1032	91
Nigeria	20.0	30.0	Q1033	92
Pakistan	60.0	50.0	Q843	93
Palau	20.0	30.0	Q695	94
Panama	60.0	50.0	Q804	95
Papua New Guinea	50.0	50.0	Q691	96
Paraguay	50.0	60.0	Q733	97
Peru	100.0	80.0	Q419	98
Philippines	70.0	50.0	Q928	99
Poland	90.0	90.0	Q36	100
Romania	70.0	80.0	Q218	101
Russian Federation	60.0	90.0	Q159	102
Rwanda	40.0	50.0	Q1037	103
Samoa	50.0	60.0	Q683	104
Sao Tome and Principe	30.0	50.0	Q1039	105
Senegal	60.0	80.0	Q1041	106
Serbia	30.0	80.0	Q403	107
Seychelles	50.0	80.0	Q1042	108
Sierra Leone	20.0	30.0	Q1044	109
Slovak Republic	90.0	20.0	Q214	110
Solomon Islands	20.0	40.0	Q685	111
Somalia	0.0	10.0	Q1045	112
South Africa	90.0	80.0	Q258	113
Sri Lanka	50.0	70.0	Q854	114
St. Kitts and Nevis	40.0	30.0	Q763	115
St. Lucia	50.0	40.0	Q760	116
St. Vincent and the Grenadines	60.0	50.0	Q757	117
Sudan	20.0	50.0	Q1049	118
Suriname	30.0	40.0	Q730	119
Eswatini	30.0	40.0	Q1050	120
Syrian Arab Republic	60.0	10.0	Q858	121
Tajikistan	40.0	60.0	Q863	122
Tanzania	50.0	30.0	Q924	123
Thailand	90.0	80.0	Q869	124
Timor-Leste	20.0	60.0	Q574	125
Togo	40.0	50.0	Q945	126
Tonga	40.0	50.0	Q678	127
Trinidad and Tobago	70.0	50.0	Q754	128
Tunisia	60.0	70.0	Q948	129
Turkey	90.0	90.0	Q43	130
Turkmenistan	20.0	30.0	Q874	131
Uganda	40.0	50.0	Q1036	132
Ukraine	80.0	100.0	Q212	133
Uruguay	60.0	70.0	Q77	134
Uzbekistan	50.0	70.0	Q265	135
Vanuatu	40.0	30.0	Q686	136
Venezuela, RB	70.0	30.0	Q717	137
Vietnam	50.0	60.0	Q881	138
Yemen, Rep.	40.0	40.0	Q805	139
Zambia	50.0	50.0	Q953	140
Zimbabwe	60.0	30.0	Q954	141
