Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Myanmar	84.9	77.6	59.1	47.7	Q836
Namibia	62.7	62.9	47.9	55.5	Q1030
Nepal	90.4	85	81.4	82.7	Q837
Netherlands	72.8	69.4	53.2	58.4	Q55
New Caledonia	73	68.5	61.9	58	Q33788
New Zealand	73.2	75.4	56.7	64.8	Q664
Nicaragua	86.5	84.3	38.5	49.4	Q811
Niger	90.2	83.9	68.9	60.9	Q1032
Nigeria	64.7	58	55.3	48.2	Q1033
North Macedonia	65.5	67.5	40.9	43	Q221
Norway	72.8	67.4	61.2	60.4	Q20
Oman	77.2	89.4	23.3	30.9	Q842
Pakistan	83.8	81.8	16.1	21.7	Q843
Panama	80.9	80	44.9	53.4	Q804
Papua New Guinea	73.4	48.2	70.6	46.6	Q691
Paraguay	86.4	84.7	52.6	59	Q733
Peru	80.3	84.8	54.9	70	Q419
Philippines	77.3	73.3	47.7	46	Q928
Poland	63.6	65.8	49.6	48.9	Q36
Portugal	69.7	64.5	52.7	54.5	Q45
Puerto Rico	59.4	48.9	34.7	32.2	Q1183
Qatar	92.4	94.5	41.7	56.9	Q846
Romania	71.2	65.1	58	45.7	Q218
Russian Federation	69.1	70.7	54.6	55.2	Q159
Rwanda	87	83.4	84.5	83.9	Q1037
Samoa	57.5	55.7	32.9	31.2	Q683
Sao Tome and Principe	72.8	74.7	38.6	41.6	Q1039
Saudi Arabia	75.6	78.1	16.1	22	Q851
Senegal	71	57.6	33.4	35	Q1041
Serbia	66	63.1	46.9	47.5	Q403
Sierra Leone	65.2	58.5	63.1	57.4	Q1044
Singapore	79.2	78.4	52.2	62.1	Q334
Slovak Republic	67.8	67.8	52.3	52.4	Q214
Slovenia	64	64.1	51.2	53.8	Q215
Solomon Islands	85.4	85.6	82.3	82.1	Q685
Somalia	77	73.5	21.9	21.7	Q1045
South Africa	66.4	62.8	45	49.5	Q258
South Sudan	78.1	73.9	70.8	70.9	Q958
Spain	65.7	63.8	40.6	52	Q29
Sri Lanka	77	74.9	37.3	35.6	Q854
St. Lucia	75.2	75	53	59.3	Q760
St. Vincent and the Grenadines	80.3	77.1	49.5	54.3	Q757
Sudan	74.1	68.3	28.3	29.1	Q1049
Suriname	66.3	63.9	34	38.7	Q730
Sweden	66.5	67.8	58.4	61.3	Q34
Switzerland	77.7	74	57.8	62.9	Q39
Syrian Arab Republic	80.2	74.1	20.1	14.6	Q858
Tajikistan	54.7	52.7	30.2	31.2	Q863
Tanzania	89.8	87.4	84.6	79.7	Q924
Thailand	81.1	76.3	65.6	59.5	Q869
Timor-Leste	78.5	72.8	66.5	61.9	Q574
Togo	80.6	79	80.3	76.5	Q945
Tonga	73.5	74.4	44.2	45.7	Q678
Trinidad and Tobago	76.2	70.8	46.5	50.3	Q754
Tunisia	71.2	69.7	23.2	23.9	Q948
Turkey	72.6	72.7	26.3	34.1	Q43
Turkmenistan	75.1	78.4	50.5	51.6	Q874
Uganda	76.8	74	64.1	66.9	Q1036
Ukraine	64.4	63.3	50.8	47	Q212
United Arab Emirates	91.5	93.3	33.8	52.4	Q878
United Kingdom	69.9	68.1	53.6	57.6	Q145
United States	74.2	68.5	59	56.4	Q30
Uruguay	74.8	73.3	50.8	55.4	Q77
Uzbekistan	74.2	78	50.9	52.4	Q265
Vanuatu	77.5	78.8	60	61	Q686
Venezuela, RB	79.4	75.3	47.6	45.7	Q717
Vietnam	81	82.5	72	72.8	Q881
Virgin Islands (U.S.)	70.7	63.1	59.2	58.6	Q11703
West Bank and Gaza	68.6	69.1	12.5	17.4	Q407199
Yemen, Rep.	71.5	70.1	20.4	6	Q805
Zambia	85.1	79.2	73.6	70.4	Q953
Zimbabwe	87.4	89	72.1	78	Q954
